corpus,tokenizer,form,pieces,occurrences,lexicon
interviews (train),e5 / XLM-R,pararme,▁para | rme,4,False
interviews (train),e5 / XLM-R,pasaría,▁pasar | ía,4,False
interviews (train),e5 / XLM-R,perdón,▁per | dón,4,False
interviews (train),e5 / XLM-R,presento,▁present | o,4,False
interviews (train),e5 / XLM-R,psicóloga,▁psi | có | loga,4,False
interviews (train),e5 / XLM-R,psicólogo,▁psi | c | ólogo,4,False
interviews (train),e5 / XLM-R,redundancia,▁red | undan | cia,4,False
interviews (train),e5 / XLM-R,refiero,▁ref | iero,4,False
interviews (train),e5 / XLM-R,regreso,▁regres | o,4,False
interviews (train),e5 / XLM-R,requieren,▁requiere | n,4,False
interviews (train),e5 / XLM-R,sacado,▁sa | cado,4,False
interviews (train),e5 / XLM-R,sufrí,▁su | frí,4,False
interviews (train),e5 / XLM-R,supermal,▁super | mal,4,False
interviews (train),e5 / XLM-R,tardes,▁tarde | s,4,False
interviews (train),e5 / XLM-R,teníamos,▁tenía | mos,4,False
interviews (train),e5 / XLM-R,tiendo,▁tie | ndo,4,False
interviews (train),e5 / XLM-R,tomo,▁to | mo,4,False
interviews (train),e5 / XLM-R,tíos,▁tí | os,4,False
interviews (train),e5 / XLM-R,universitaria,▁universitari | a,4,False
interviews (train),e5 / XLM-R,usualmente,▁usual | mente,4,False
interviews (train),e5 / XLM-R,Duermo,▁Du | er | mo,3,True
interviews (train),e5 / XLM-R,Normalmente,▁Normal | mente,3,False
interviews (train),e5 / XLM-R,Primero,▁Primer | o,3,False
interviews (train),e5 / XLM-R,Principalmente,▁Principal | mente,3,False
interviews (train),e5 / XLM-R,Suelo,▁Su | elo,3,False
interviews (train),e5 / XLM-R,Tuve,▁Tu | ve,3,False
interviews (train),e5 / XLM-R,abrumado,▁ab | rum | ado,3,True
interviews (train),e5 / XLM-R,acabando,▁acaba | ndo,3,False
interviews (train),e5 / XLM-R,académicas,▁académica | s,3,False
interviews (train),e5 / XLM-R,acostado,▁ac | osta | do,3,False
interviews (train),e5 / XLM-R,acostando,▁a | cos | tando,3,False
interviews (train),e5 / XLM-R,acostumbrada,▁acostumbra | da,3,False
interviews (train),e5 / XLM-R,acostumbrado,▁acostumbra | do,3,False
interviews (train),e5 / XLM-R,afectaba,▁afecta | ba,3,False
interviews (train),e5 / XLM-R,agradado,▁ | agrada | do,3,False
interviews (train),e5 / XLM-R,agradecida,▁agradeci | da,3,False
interviews (train),e5 / XLM-R,alejarme,▁ale | jar | me,3,False
interviews (train),e5 / XLM-R,altas,▁alta | s,3,False
interviews (train),e5 / XLM-R,apetite,▁apetit | e,3,False
interviews (train),e5 / XLM-R,aprenderme,▁aprender | me,3,False
interviews (train),e5 / XLM-R,aprendí,▁a | prend | í,3,False
interviews (train),e5 / XLM-R,asignatura,▁a | signatur | a,3,False
interviews (train),e5 / XLM-R,asistiendo,▁asist | iendo,3,False
interviews (train),e5 / XLM-R,asusta,▁as | usta,3,False
interviews (train),e5 / XLM-R,atracones,▁atra | con | es,3,False
interviews (train),e5 / XLM-R,aun,▁a | un,3,False
interviews (train),e5 / XLM-R,avanzando,▁avanza | ndo,3,False
interviews (train),e5 / XLM-R,ayudan,▁ayuda | n,3,False
interviews (train),e5 / XLM-R,ayudarlo,▁ayudar | lo,3,False
interviews (train),e5 / XLM-R,bajado,▁baja | do,3,False
interviews (train),e5 / XLM-R,bajones,▁bajo | nes,3,True
interviews (train),e5 / XLM-R,becado,▁be | cado,3,False
interviews (train),e5 / XLM-R,bloqueo,▁bloque | o,3,False
interviews (train),e5 / XLM-R,cabizbajo,▁ca | biz | ba | jo,3,False
interviews (train),e5 / XLM-R,caigo,▁ca | igo,3,False
interviews (train),e5 / XLM-R,callado,▁call | ado,3,False
interviews (train),e5 / XLM-R,calmada,▁calma | da,3,False
interviews (train),e5 / XLM-R,calmarme,▁calma | rme,3,False
interviews (train),e5 / XLM-R,calmo,▁cal | mo,3,False
interviews (train),e5 / XLM-R,cambiarlo,▁cambiar | lo,3,False
interviews (train),e5 / XLM-R,cambié,▁ca | mbi | é,3,False
interviews (train),e5 / XLM-R,canso,▁can | so,3,False
interviews (train),e5 / XLM-R,cercana,▁cerca | na,3,False
interviews (train),e5 / XLM-R,coger,▁co | ger,3,False
interviews (train),e5 / XLM-R,cojo,▁co | jo,3,False
interviews (train),e5 / XLM-R,comparto,▁compar | to,3,False
interviews (train),e5 / XLM-R,compleja,▁comp | le | ja,3,False
interviews (train),e5 / XLM-R,complicación,▁complica | ción,3,False
interviews (train),e5 / XLM-R,compromisos,▁compromiso | s,3,False
interviews (train),e5 / XLM-R,concentrarme,▁concentrar | me,3,False
interviews (train),e5 / XLM-R,controlarme,▁controlar | me,3,False
interviews (train),e5 / XLM-R,dejarlo,▁dejar | lo,3,False
interviews (train),e5 / XLM-R,demoro,▁dem | oro,3,False
interviews (train),e5 / XLM-R,dependiendo,▁dependien | do,3,False
interviews (train),e5 / XLM-R,deprimido,▁de | primi | do,3,True
interviews (train),e5 / XLM-R,desanimado,▁des | anima | do,3,False
interviews (train),e5 / XLM-R,desmotivación,▁des | motiv | ación,3,False
interviews (train),e5 / XLM-R,dieron,▁die | ron,3,False
interviews (train),e5 / XLM-R,dijeron,▁dije | ron,3,False
interviews (train),e5 / XLM-R,distraerme,▁distra | er | me,3,False
interviews (train),e5 / XLM-R,duele,▁du | ele,3,False
interviews (train),e5 / XLM-R,empezado,▁empeza | do,3,False
interviews (train),e5 / XLM-R,encontré,▁en | con | tré,3,False
interviews (train),e5 / XLM-R,enferma,▁en | ferm | a,3,False
interviews (train),e5 / XLM-R,entendiendo,▁entend | iendo,3,False
interviews (train),e5 / XLM-R,entrenar,▁entre | nar,3,False
interviews (train),e5 / XLM-R,entretengo,▁entre | ten | go,3,False
interviews (train),e5 / XLM-R,entré,▁en | tré,3,False
interviews (train),e5 / XLM-R,esforzarme,▁es | forza | rme,3,False
interviews (train),e5 / XLM-R,estrategias,▁estrategia | s,3,False
interviews (train),e5 / XLM-R,estresantes,▁est | res | antes,3,False
interviews (train),e5 / XLM-R,estresar,▁est | res | ar,3,True
interviews (train),e5 / XLM-R,exponer,▁expon | er,3,False
interviews (train),e5 / XLM-R,facilidad,▁facil | idad,3,False
interviews (train),e5 / XLM-R,fallar,▁fall | ar,3,False
interviews (train),e5 / XLM-R,flojo,▁flo | jo,3,False
interviews (train),e5 / XLM-R,frustraciones,▁frustra | ciones,3,True
interviews (train),e5 / XLM-R,frustrante,▁frustra | nte,3,False
interviews (train),e5 / XLM-R,generado,▁genera | do,3,False
interviews (train),e5 / XLM-R,generó,▁gener | ó,3,False
interviews (train),e5 / XLM-R,guiar,▁guia | r,3,False
interviews (train),e5 / XLM-R,hablarlo,▁hablar | lo,3,False
interviews (train),e5 / XLM-R,inestable,▁in | est | able,3,False
interviews (train),e5 / XLM-R,informes,▁informe | s,3,False
interviews (train),e5 / XLM-R,intentado,▁intenta | do,3,False
interviews (train),e5 / XLM-R,irritada,▁irrita | da,3,False
interviews (train),e5 / XLM-R,levantaba,▁levanta | ba,3,False
interviews (train),e5 / XLM-R,llegué,▁lle | gué,3,False
interviews (train),e5 / XLM-R,locura,▁lo | cura,3,False
interviews (train),e5 / XLM-R,lograrlo,▁lograr | lo,3,False
interviews (train),e5 / XLM-R,maneras,▁manera | s,3,False
interviews (train),e5 / XLM-R,mayormente,▁mayor | mente,3,False
interviews (train),e5 / XLM-R,medicamento,▁medicament | o,3,False
interviews (train),e5 / XLM-R,mentalidad,▁mental | idad,3,False
interviews (train),e5 / XLM-R,motivado,▁motiva | do,3,False
interviews (train),e5 / XLM-R,muchacho,▁mucha | cho,3,False
interviews (train),e5 / XLM-R,negativos,▁negativo | s,3,False
interviews (train),e5 / XLM-R,nervio,▁nerv | io,3,True
interviews (train),e5 / XLM-R,nerviosismo,▁nervios | ismo,3,False
interviews (train),e5 / XLM-R,obtuve,▁ob | tu | ve,3,False
interviews (train),e5 / XLM-R,ocupado,▁ocupa | do,3,False
interviews (train),e5 / XLM-R,orar,▁or | ar,3,False
interviews (train),e5 / XLM-R,organizando,▁organiza | ndo,3,False
interviews (train),e5 / XLM-R,pasaron,▁pasar | on,3,False
interviews (train),e5 / XLM-R,pasé,▁pas | é,3,False
interviews (train),e5 / XLM-R,pega,▁pe | ga,3,False
interviews (train),e5 / XLM-R,pensaba,▁pensa | ba,3,False
interviews (train),e5 / XLM-R,ponía,▁pon | ía,3,False
interviews (train),e5 / XLM-R,preocupando,▁preocupa | ndo,3,True
interviews (train),e5 / XLM-R,presentando,▁presenta | ndo,3,False
interviews (train),e5 / XLM-R,presionado,▁presion | ado,3,False
interviews (train),e5 / XLM-R,prioridad,▁prior | idad,3,False
interviews (train),e5 / XLM-R,priorizar,▁prior | izar,3,False
interviews (train),e5 / XLM-R,procrastinación,▁proc | rasti | n | ación,3,False
interviews (train),e5 / XLM-R,psicológicamente,▁psicológica | mente,3,False
interviews (train),e5 / XLM-R,pánico,▁pá | nico,3,True
interviews (train),e5 / XLM-R,quedaba,▁que | daba,3,False
interviews (train),e5 / XLM-R,quedé,▁que | dé,3,False
interviews (train),e5 / XLM-R,quedó,▁que | dó,3,False
interviews (train),e5 / XLM-R,rabia,▁ | rabia,3,False
interviews (train),e5 / XLM-R,recibí,▁reci | bí,3,False
interviews (train),e5 / XLM-R,regularmente,▁regular | mente,3,False
interviews (train),e5 / XLM-R,relacionarme,▁relaciona | rme,3,False
interviews (train),e5 / XLM-R,relajada,▁rela | jada,3,False
interviews (train),e5 / XLM-R,relajado,▁rela | ja | do,3,False
interviews (train),e5 / XLM-R,relaje,▁rela | je,3,False
interviews (train),e5 / XLM-R,relajo,▁rela | jo,3,True
interviews (train),e5 / XLM-R,retos,▁reto | s,3,False
interviews (train),e5 / XLM-R,rindiendo,▁rind | iendo,3,False
interviews (train),e5 / XLM-R,rodeado,▁rodea | do,3,False
interviews (train),e5 / XLM-R,ruptura,▁rup | tura,3,False
interviews (train),e5 / XLM-R,saberlo,▁saber | lo,3,False
interviews (train),e5 / XLM-R,salgo,▁sal | go,3,False
interviews (train),e5 / XLM-R,salimos,▁sali | mos,3,False
interviews (train),e5 / XLM-R,seguidos,▁seguido | s,3,False
interviews (train),e5 / XLM-R,sentirse,▁sentir | se,3,False
interviews (train),e5 / XLM-R,soledad,▁sol | edad,3,True
interviews (train),e5 / XLM-R,somnolienta,▁som | no | li | enta,3,False
interviews (train),e5 / XLM-R,suele,▁su | ele,3,False
interviews (train),e5 / XLM-R,suelto,▁su | el | to,3,False
interviews (train),e5 / XLM-R,suspender,▁suspend | er,3,False
interviews (train),e5 / XLM-R,sustentaciones,▁sustenta | ciones,3,False
interviews (train),e5 / XLM-R,tomarme,▁tomar | me,3,False
interviews (train),e5 / XLM-R,trasnochar,▁tras | no | char,3,False
interviews (train),e5 / XLM-R,términos,▁término | s,3,False
interviews (train),e5 / XLM-R,valga,▁valg | a,3,False
interviews (train),e5 / XLM-R,varía,▁var | ía,3,False
interviews (train),e5 / XLM-R,venía,▁ven | ía,3,False
interviews (train),e5 / XLM-R,Aparte,▁Apart | e,2,False
interviews (train),e5 / XLM-R,Ayer,▁Ay | er,2,False
interviews (train),e5 / XLM-R,Básicamente,▁Básica | mente,2,False
interviews (train),e5 / XLM-R,Cambios,▁Cam | bios,2,False
interviews (train),e5 / XLM-R,Demoro,▁Demo | ro,2,False
interviews (train),e5 / XLM-R,Depende,▁De | pende,2,False
interviews (train),e5 / XLM-R,Emocionalmente,▁Emo | cional | mente,2,False
interviews (train),e5 / XLM-R,Especialmente,▁Especial | mente,2,False
interviews (train),e5 / XLM-R,Hacen,▁Hace | n,2,False
interviews (train),e5 / XLM-R,Momentos,▁Moment | os,2,False
interviews (train),e5 / XLM-R,Tampoco,▁Tampoc | o,2,False
interviews (train),e5 / XLM-R,Tengo,Ten | go,2,False
interviews (train),e5 / XLM-R,abuelos,▁abu | e | los,2,False
interviews (train),e5 / XLM-R,acabara,▁acabar | a,2,False
interviews (train),e5 / XLM-R,acercado,▁acerca | do,2,False
interviews (train),e5 / XLM-R,acercan,▁acerca | n,2,False
interviews (train),e5 / XLM-R,aclarar,▁ac | lar | ar,2,False
interviews (train),e5 / XLM-R,actitudes,▁actitud | es,2,False
interviews (train),e5 / XLM-R,adjudico,▁ad | ju | dico,2,False
interviews (train),e5 / XLM-R,adjudicándome,▁ad | judi | cán | dome,2,False
interviews (train),e5 / XLM-R,afortunadamente,▁a | fortuna | damente,2,False
interviews (train),e5 / XLM-R,afrontarlo,▁afrontar | lo,2,False
interviews (train),e5 / XLM-R,afuera,▁af | u | era,2,False
interviews (train),e5 / XLM-R,agobia,▁ago | bia,2,False
interviews (train),e5 / XLM-R,agobiada,▁ago | bia | da,2,True
interviews (train),e5 / XLM-R,agotamiento,▁a | got | amiento,2,True
interviews (train),e5 / XLM-R,agradecido,▁agradeci | do,2,False
interviews (train),e5 / XLM-R,ahondar,▁aho | ndar,2,False
interviews (train),e5 / XLM-R,aislada,▁a | is | lada,2,False
interviews (train),e5 / XLM-R,alarma,▁alarm | a,2,False
interviews (train),e5 / XLM-R,alimentarme,▁alimentar | me,2,False
interviews (train),e5 / XLM-R,almorzar,▁al | mor | zar,2,False
interviews (train),e5 / XLM-R,alprazolam,▁al | praz | o | lam,2,False
interviews (train),e5 / XLM-R,ambición,▁amb | i | ción,2,False
interviews (train),e5 / XLM-R,amena,▁a | mena,2,False
interviews (train),e5 / XLM-R,amorosas,▁amor | osas,2,False
interviews (train),e5 / XLM-R,ando,▁and | o,2,False
interviews (train),e5 / XLM-R,angustiado,▁angustia | do,2,True
interviews (train),e5 / XLM-R,ansiosos,▁an | si | osos,2,True
interviews (train),e5 / XLM-R,apoya,▁apo | ya,2,False
interviews (train),e5 / XLM-R,apoyado,▁apo | y | ado,2,False
interviews (train),e5 / XLM-R,apretados,▁a | pret | ados,2,False
interviews (train),e5 / XLM-R,aprovecho,▁a | prove | cho,2,False
interviews (train),e5 / XLM-R,arepita,▁are | pita,2,False
interviews (train),e5 / XLM-R,atrasado,▁atras | ado,2,False
interviews (train),e5 / XLM-R,autorregularme,▁autor | regula | rme,2,False
interviews (train),e5 / XLM-R,ayudaba,▁ayuda | ba,2,False
interviews (train),e5 / XLM-R,ayudando,▁ayuda | ndo,2,False
interviews (train),e5 / XLM-R,bajan,▁baja | n,2,False
interviews (train),e5 / XLM-R,bajitas,▁baj | itas,2,False
interviews (train),e5 / XLM-R,bajó,▁ba | jó,2,False
interviews (train),e5 / XLM-R,balancear,▁balance | ar,2,False
interviews (train),e5 / XLM-R,barriga,▁barri | ga,2,False
interviews (train),e5 / XLM-R,beca,▁be | ca,2,False
interviews (train),e5 / XLM-R,brinden,▁brin | den,2,False
interviews (train),e5 / XLM-R,bullying,▁bull | ying,2,False
interviews (train),e5 / XLM-R,busco,▁bus | co,2,False
interviews (train),e5 / XLM-R,buñuelo,▁bu | ñ | u | elo,2,False
interviews (train),e5 / XLM-R,calificaciones,▁califica | ciones,2,False
interviews (train),e5 / XLM-R,cambian,▁cambia | n,2,False
interviews (train),e5 / XLM-R,cambie,▁cam | bie,2,False
interviews (train),e5 / XLM-R,cambió,▁ca | mbi | ó,2,False
interviews (train),e5 / XLM-R,cansados,▁cansa | dos,2,True
interviews (train),e5 / XLM-R,carcoma,▁car | com | a,2,False
interviews (train),e5 / XLM-R,cargan,▁carga | n,2,False
interviews (train),e5 / XLM-R,causan,▁causa | n,2,False
interviews (train),e5 / XLM-R,causó,▁cau | só,2,False
interviews (train),e5 / XLM-R,certidumbre,▁certi | dum | bre,2,False
interviews (train),e5 / XLM-R,chiquito,▁chi | qui | to,2,False
interviews (train),e5 / XLM-R,chiquitos,▁chi | qui | tos,2,False
interviews (train),e5 / XLM-R,choripanes,▁chor | ipa | nes,2,False
interviews (train),e5 / XLM-R,cierra,▁ci | er | ra,2,False
interviews (train),e5 / XLM-R,cierro,▁ci | er | ro,2,False
interviews (train),e5 / XLM-R,claridad,▁clar | idad,2,False
interviews (train),e5 / XLM-R,colegios,▁colegio | s,2,False
interviews (train),e5 / XLM-R,comenzaron,▁comenzar | on,2,False
interviews (train),e5 / XLM-R,comienzan,▁comienza | n,2,False
interviews (train),e5 / XLM-R,compararme,▁compara | rme,2,False
interviews (train),e5 / XLM-R,completas,▁completa | s,2,False
interviews (train),e5 / XLM-R,complican,▁complica | n,2,False
interviews (train),e5 / XLM-R,comunico,▁comuni | co,2,False
interviews (train),e5 / XLM-R,concluir,▁conclu | ir,2,False
interviews (train),e5 / XLM-R,conlleva,▁con | lle | va,2,False
interviews (train),e5 / XLM-R,conocí,▁con | o | cí,2,False
interviews (train),e5 / XLM-R,contento,▁content | o,2,False
interviews (train),e5 / XLM-R,contradictorio,▁contra | dic | torio,2,False
interviews (train),e5 / XLM-R,controlo,▁control | o,2,False
interviews (train),e5 / XLM-R,cuestan,▁cu | est | an,2,False
interviews (train),e5 / XLM-R,cuestiono,▁cu | esti | ono,2,False
interviews (train),e5 / XLM-R,cumplí,▁cum | plí,2,False
interviews (train),e5 / XLM-R,cursando,▁cursa | ndo,2,False
interviews (train),e5 / XLM-R,darme,▁dar | me,2,False
interviews (train),e5 / XLM-R,daña,▁da | ña,2,False
interviews (train),e5 / XLM-R,deberes,▁debe | res,2,False
interviews (train),e5 / XLM-R,decepcionado,▁decepcion | ado,2,False
interviews (train),e5 / XLM-R,decida,▁de | cida,2,False
interviews (train),e5 / XLM-R,decidió,▁decidi | ó,2,False
interviews (train),e5 / XLM-R,decirse,▁decir | se,2,False
interviews (train),e5 / XLM-R,decirte,▁decir | te,2,False
interviews (train),e5 / XLM-R,dedicación,▁dedica | ción,2,False
interviews (train),e5 / XLM-R,dedicarle,▁dedicar | le,2,False
interviews (train),e5 / XLM-R,dejaba,▁deja | ba,2,False
interviews (train),e5 / XLM-R,dejan,▁de | jan,2,False
interviews (train),e5 / XLM-R,delegar,▁de | legar,2,False
interviews (train),e5 / XLM-R,demorado,▁demora | do,2,False
interviews (train),e5 / XLM-R,dependen,▁depende | n,2,False
interviews (train),e5 / XLM-R,deprimida,▁de | primi | da,2,True
interviews (train),e5 / XLM-R,desanimada,▁desa | nimada,2,False
interviews (train),e5 / XLM-R,desmotivado,▁des | motiv | ado,2,True
interviews (train),e5 / XLM-R,despertando,▁desperta | ndo,2,False
interviews (train),e5 / XLM-R,deuda,▁de | uda,2,False
interviews (train),e5 / XLM-R,deudas,▁de | u | das,2,False
interviews (train),e5 / XLM-R,diarias,▁diaria | s,2,False
interviews (train),e5 / XLM-R,diga,▁di | ga,2,False
interviews (train),e5 / XLM-R,digámoslo,▁dig | á | mos | lo,2,False
interviews (train),e5 / XLM-R,discernimiento,▁discern | imiento,2,False
interviews (train),e5 / XLM-R,distinto,▁distin | to,2,False
interviews (train),e5 / XLM-R,distraer,▁distra | er,2,False
interviews (train),e5 / XLM-R,doloroso,▁dolor | oso,2,False
interviews (train),e5 / XLM-R,drásticamente,▁d | rás | ticamente,2,False
interviews (train),e5 / XLM-R,décimo,▁déc | imo,2,False
interviews (train),e5 / XLM-R,echar,▁e | char,2,False
interviews (train),e5 / XLM-R,emocionales,▁emocional | es,2,False
interviews (train),e5 / XLM-R,emocioné,▁emocion | é,2,False
interviews (train),e5 / XLM-R,enfoco,▁en | fo | co,2,False
interviews (train),e5 / XLM-R,enfrentando,▁enfrenta | ndo,2,False
interviews (train),e5 / XLM-R,enmendar,▁en | men | dar,2,False
interviews (train),e5 / XLM-R,enredado,▁en | red | ado,2,False
interviews (train),e5 / XLM-R,entrenando,▁entre | na | ndo,2,False
interviews (train),e5 / XLM-R,entreno,▁entre | no,2,False
interviews (train),e5 / XLM-R,entretenerme,▁entre | ten | er | me,2,False
interviews (train),e5 / XLM-R,escogido,▁esco | gido,2,False
interviews (train),e5 / XLM-R,escuchado,▁escucha | do,2,False
interviews (train),e5 / XLM-R,escucho,▁escu | cho,2,False
interviews (train),e5 / XLM-R,esforzando,▁es | forza | ndo,2,False
interviews (train),e5 / XLM-R,esfuerzos,▁esfuerzo | s,2,False
interviews (train),e5 / XLM-R,esperaba,▁espera | ba,2,False
interviews (train),e5 / XLM-R,estabilidad,▁est | abilidad,2,False
interviews (train),e5 / XLM-R,estresa,▁est | resa,2,True
interviews (train),e5 / XLM-R,estresan,▁est | res | an,2,True
interviews (train),e5 / XLM-R,estresarme,▁est | res | arme,2,False
interviews (train),e5 / XLM-R,estrese,▁est | rese,2,False
interviews (train),e5 / XLM-R,estresé,▁est | res | é,2,True
interviews (train),e5 / XLM-R,estricta,▁e | strict | a,2,False
interviews (train),e5 / XLM-R,estuve,▁estu | ve,2,False
interviews (train),e5 / XLM-R,evaluaciones,▁ | evalua | ciones,2,False
interviews (train),e5 / XLM-R,excusas,▁excusa | s,2,False
interviews (train),e5 / XLM-R,exigencia,▁exige | ncia,2,False
interviews (train),e5 / XLM-R,exigiendo,▁exigi | endo,2,False
interviews (train),e5 / XLM-R,explicarlo,▁explicar | lo,2,False
interviews (train),e5 / XLM-R,explico,▁explic | o,2,False
interviews (train),e5 / XLM-R,expresando,▁expresa | ndo,2,False
interviews (train),e5 / XLM-R,extensos,▁extenso | s,2,False
interviews (train),e5 / XLM-R,externas,▁externa | s,2,False
interviews (train),e5 / XLM-R,falleció,▁fall | e | ció,2,False
interviews (train),e5 / XLM-R,faltan,▁falta | n,2,False
interviews (train),e5 / XLM-R,fatiga,▁fati | ga,2,False
interviews (train),e5 / XLM-R,fatigado,▁fati | gado,2,False
interviews (train),e5 / XLM-R,flojera,▁flo | jera,2,False
interviews (train),e5 / XLM-R,fluido,▁fluid | o,2,False
interviews (train),e5 / XLM-R,frecuentemente,▁frecuente | mente,2,False
interviews (train),e5 / XLM-R,funcionado,▁funciona | do,2,False
interviews (train),e5 / XLM-R,fáciles,▁fácil | es,2,False
interviews (train),e5 / XLM-R,gané,▁ga | né,2,False
interviews (train),e5 / XLM-R,gastritis,▁gast | riti | s,2,False
interviews (train),e5 / XLM-R,graduarme,▁gradu | arme,2,False
interviews (train),e5 / XLM-R,guardo,▁guard | o,2,False
interviews (train),e5 / XLM-R,hablé,▁ha | blé,2,False
interviews (train),e5 / XLM-R,hacerla,▁hacer | la,2,False
interviews (train),e5 / XLM-R,hiciera,▁hic | iera,2,False
interviews (train),e5 / XLM-R,honestamente,▁honest | amente,2,False
interviews (train),e5 / XLM-R,iban,▁i | ban,2,False
interviews (train),e5 / XLM-R,identifico,▁identific | o,2,False
interviews (train),e5 / XLM-R,ignorando,▁ignora | ndo,2,False
interviews (train),e5 / XLM-R,imagino,▁imagin | o,2,False
interviews (train),e5 / XLM-R,imaginé,▁imagin | é,2,False
interviews (train),e5 / XLM-R,incomodidad,▁in | com | od | idad,2,False
interviews (train),e5 / XLM-R,incrementado,▁incrementa | do,2,False
interviews (train),e5 / XLM-R,indiferente,▁indiferent | e,2,False
interviews (train),e5 / XLM-R,influenciada,▁influencia | da,2,False
interviews (train),e5 / XLM-R,injusto,▁in | just | o,2,False
interviews (train),e5 / XLM-R,interactuar,▁interact | uar,2,False
interviews (train),e5 / XLM-R,jajaja,▁ja | ja | ja,2,False
interviews (train),e5 / XLM-R,jugaba,▁juga | ba,2,False
interviews (train),e5 / XLM-R,lapso,▁laps | o,2,False
interviews (train),e5 / XLM-R,lejano,▁le | ja | no,2,False
interviews (train),e5 / XLM-R,levantamiento,▁levanta | miento,2,False
interviews (train),e5 / XLM-R,leves,▁leve | s,2,False
interviews (train),e5 / XLM-R,llevando,▁lleva | ndo,2,False
interviews (train),e5 / XLM-R,llorado,▁llo | rado,2,True
interviews (train),e5 / XLM-R,llore,▁llo | re,2,False
interviews (train),e5 / XLM-R,lloro,▁llo | ro,2,False
interviews (train),e5 / XLM-R,logros,▁logro | s,2,False
interviews (train),e5 / XLM-R,madrugo,▁ma | drug | o,2,False
interviews (train),e5 / XLM-R,malagradecida,▁mala | grade | cida,2,False
interviews (train),e5 / XLM-R,mandé,▁man | dé,2,False
interviews (train),e5 / XLM-R,manejarla,▁mane | jar | la,2,False
interviews (train),e5 / XLM-R,manejó,▁mane | jó,2,False
interviews (train),e5 / XLM-R,mantenido,▁manten | ido,2,False
interviews (train),e5 / XLM-R,manzana,▁man | zana,2,False
interviews (train),e5 / XLM-R,marchando,▁marchand | o,2,False
interviews (train),e5 / XLM-R,mareo,▁mare | o,2,False
interviews (train),e5 / XLM-R,masculina,▁masculin | a,2,False
interviews (train),e5 / XLM-R,mecánica,▁me | cán | ica,2,False
interviews (train),e5 / XLM-R,metiendo,▁met | iendo,2,False
interviews (train),e5 / XLM-R,micrófono,▁mic | ró | fon | o,2,False
interviews (train),e5 / XLM-R,molestan,▁molesta | n,2,False
interviews (train),e5 / XLM-R,momentico,▁moment | ico,2,False
interviews (train),e5 / XLM-R,monotonía,▁monoton | ía,2,False
interviews (train),e5 / XLM-R,motivada,▁motiva | da,2,False
interviews (train),e5 / XLM-R,muchísima,▁much | ísima,2,False
interviews (train),e5 / XLM-R,míos,▁mí | os,2,False
interviews (train),e5 / XLM-R,nace,▁na | ce,2,False
interviews (train),e5 / XLM-R,necesitaba,▁necesita | ba,2,False
interviews (train),e5 / XLM-R,nostalgia,▁nostalgi | a,2,False
interviews (train),e5 / XLM-R,notan,▁not | an,2,False
interviews (train),e5 / XLM-R,noviazgo,▁novi | az | go,2,False
interviews (train),e5 / XLM-R,nuevamente,▁nueva | mente,2,False
interviews (train),e5 / XLM-R,obeso,▁obes | o,2,False
interviews (train),e5 / XLM-R,octavo,▁octa | vo,2,False
interviews (train),e5 / XLM-R,ocupaciones,▁ocupa | ciones,2,False
interviews (train),e5 / XLM-R,optimismo,▁optimism | o,2,False
interviews (train),e5 / XLM-R,parar,▁para | r,2,False
interviews (train),e5 / XLM-R,pareció,▁pare | ció,2,False
interviews (train),e5 / XLM-R,pensionado,▁pension | ado,2,False
interviews (train),e5 / XLM-R,pereza,▁per | eza,2,False
interviews (train),e5 / XLM-R,permanezco,▁permane | z | co,2,False
interviews (train),e5 / XLM-R,pesadas,▁pesa | das,2,False
interviews (train),e5 / XLM-R,pico,▁ | pico,2,False
interviews (train),e5 / XLM-R,poderme,▁poder | me,2,False
interviews (train),e5 / XLM-R,ponen,▁po | nen,2,False
interviews (train),e5 / XLM-R,poniendo,▁poni | endo,2,False
interviews (train),e5 / XLM-R,practico,▁practic | o,2,False
interviews (train),e5 / XLM-R,pragmaten,▁pragmat | en,2,False
interviews (train),e5 / XLM-R,prefería,▁prefer | ía,2,False
interviews (train),e5 / XLM-R,preocupaba,▁preocupa | ba,2,True
interviews (train),e5 / XLM-R,preocupan,▁preocupa | n,2,True
interviews (train),e5 / XLM-R,preocupante,▁preocupa | nte,2,False
interviews (train),e5 / XLM-R,preparo,▁prepar | o,2,False
interviews (train),e5 / XLM-R,prerrequisito,▁pre | rre | quisito,2,False
interviews (train),e5 / XLM-R,presenté,▁present | é,2,False
interviews (train),e5 / XLM-R,prioridades,▁prioridade | s,2,False
interviews (train),e5 / XLM-R,procrastine,▁proc | rasti | ne,2,False
interviews (train),e5 / XLM-R,profesoras,▁profesora | s,2,False
interviews (train),e5 / XLM-R,provecho,▁prove | cho,2,False
interviews (train),e5 / XLM-R,pudiendo,▁pudi | endo,2,False
interviews (train),e5 / XLM-R,pusieron,▁pus | ieron,2,False
interviews (train),e5 / XLM-R,pésima,▁pés | ima,2,False
interviews (train),e5 / XLM-R,quedara,▁quedar | a,2,False
interviews (train),e5 / XLM-R,queramos,▁que | ramos,2,False
interviews (train),e5 / XLM-R,queridos,▁querido | s,2,False
interviews (train),e5 / XLM-R,quitando,▁qui | tando,2,False
interviews (train),e5 / XLM-R,raras,▁rara | s,2,False
